,longitude,latitude
293,-115.102881,35.379371
294,-115.098018,35.37499
295,-115.043812,35.332012
296,-114.942216,35.249994
297,-114.92548,35.237054
298,-114.925381,35.237038999999996
299,-114.80503,35.140284
300,-114.804249,35.139689
301,-114.633487,35.001857
302,-114.629928,34.99474
303,-114.62919,34.991887
304,-114.629015,34.986148
305,-114.629907,34.980790999999996
306,-114.634607,34.96906
307,-114.635237,34.965149
308,-114.634953,34.958918
309,-114.631681,34.95131
310,-114.629811,34.94481
311,-114.629769,34.943039999999996
312,-114.629753,34.938683999999995
313,-114.632196,34.930628
314,-114.633253,34.924608
315,-114.633237,34.92123
316,-114.630552,34.911851999999996
317,-114.630877,34.907263
318,-114.635425,34.895192
319,-114.636725,34.889106999999996
320,-114.636768,34.885705
321,-114.635176,34.875003
322,-114.634382,34.87289
323,-114.63068200000001,34.866352
324,-114.62393900000001,34.859738
325,-114.619878,34.856873
326,-114.604255,34.849573
327,-114.600653,34.847361
328,-114.592339,34.841153
329,-114.586842,34.835671999999995
330,-114.581126,34.826115
331,-114.576452,34.8153
332,-114.574569,34.805746
333,-114.57101,34.794294
334,-114.55865299999999,34.773852
335,-114.552682,34.766871
336,-114.546884,34.761801999999996
337,-114.540306,34.757109
338,-114.529615,34.750822
339,-114.525611,34.747005
340,-114.52261899999999,34.74373
341,-114.521048,34.741172999999996
342,-114.51661899999999,34.736745
343,-114.51029199999999,34.733582
344,-114.503361,34.731246999999996
345,-114.495858,34.727956
346,-114.492017,34.725702
347,-114.490971,34.724848
348,-114.486768,34.719100000000005
349,-114.481954,34.716035999999995
350,-114.477297,34.714514
351,-114.473682,34.713964
352,-114.47162,34.712966
353,-114.470477,34.711368
354,-114.46862,34.707573
355,-114.46809,34.701786
356,-114.465246,34.691202
357,-114.462178,34.6858
358,-114.456567,34.677956
359,-114.455473,34.675768
360,-114.45491,34.673092
361,-114.454305,34.671234
362,-114.452628,34.668546
363,-114.451971,34.666795
364,-114.451753,34.665044
365,-114.451785,34.663891
366,-114.452628,34.659573
367,-114.451971,34.657166
368,-114.451753,34.654320999999996
369,-114.449549,34.651423
370,-114.444276,34.646542
371,-114.441465,34.64253
372,-114.440294,34.638239999999996
373,-114.441525,34.631529
374,-114.44139799999999,34.630171
375,-114.438739,34.621455
376,-114.428648,34.614641
377,-114.424202,34.610453
378,-114.424326,34.602337999999996
379,-114.425338,34.600842
380,-114.427502,34.599227
381,-114.43009,34.596874
382,-114.42974699999999,34.595846
383,-114.42974699999999,34.591733999999995
384,-114.422382,34.580711
385,-114.405228,34.569637
386,-114.389603,34.542981999999995
387,-114.380838,34.529724
388,-114.378223,34.516521
389,-114.378124,34.507287999999996
390,-114.381402,34.499241999999995
391,-114.382358,34.495757
392,-114.383038,34.488903
393,-114.38155499999999,34.477883
394,-114.38170099999999,34.47604
395,-114.38352499999999,34.470405
396,-114.387187,34.462021
397,-114.387407,34.460491999999995
398,-114.386699,34.457910999999996
399,-114.378852,34.450376
400,-114.375789,34.447798
401,-114.373719,34.446937999999996
402,-114.363404,34.447773
403,-114.356025,34.449743999999995
404,-114.342615,34.451442
405,-114.33962700000001,34.451435
406,-114.335372,34.450038
407,-114.33299099999999,34.448082
