,latitude,longitude,city,state,status,population,county,countyfips,country
458,34.0768488200001,-117.750552022,POMONA,CA,OPEN,437,Los Angeles,6037,USA
459,33.9699434240001,-118.049928605,WHITTIER,CA,OPEN,548,Los Angeles,6037,USA
460,34.279547441,-118.459807664,MISSION HILLS,CA,OPEN,377,Los Angeles,6037,USA
461,34.160194958,-118.449414012,SHERMAN OAKS,CA,OPEN,153,Los Angeles,6037,USA
462,33.929571841,-118.203279566,LYNWOOD,CA,OPEN,384,Los Angeles,6037,USA
463,33.780423381,-118.186115366,LONG BEACH,CA,OPEN,389,Los Angeles,6037,USA
464,33.789367521,-118.196646474,LONG BEACH,CA,OPEN,63,Los Angeles,6037,USA
465,33.811754222,-118.344292925,TORRANCE,CA,OPEN,649,Los Angeles,6037,USA
466,34.0613554060001,-118.204785509,LOS ANGELES,CA,OPEN,60,Los Angeles,6037,USA
467,34.194989499,-118.463021294,VAN NUYS,CA,OPEN,350,Los Angeles,6037,USA
468,34.049111495,-118.217999502,LOS ANGELES,CA,OPEN,353,Los Angeles,6037,USA
469,39.104953467,-122.906689976,LAKEPORT,CA,OPEN,30,Lake,6033,USA
499,41.7193733080001,-122.645716555,YREKA,CA,OPEN,28,Siskiyou,6093,USA
500,41.3186573790001,-122.321125689,MOUNT SHASTA,CA,OPEN,33,Siskiyou,6093,USA
514,34.0527212710001,-118.452752239,LOS ANGELES,CA,OPEN,-999,Los Angeles,6037,USA
521,33.776635033,-118.119078579,LONG BEACH,CA,OPEN,-999,Los Angeles,6037,USA
526,34.0713694450001,-117.944903005,WEST COVINA,CA,OPEN,46,Los Angeles,6037,USA
527,34.127487128,-117.865137942,GLENDORA,CA,OPEN,128,Los Angeles,6037,USA
528,33.9117287980001,-118.352043939,HAWTHORNE,CA,OPEN,64,Los Angeles,6037,USA
529,33.982161622,-118.43923224,MARINA DEL REY,CA,OPEN,145,Los Angeles,6037,USA
530,34.240098335,-118.396362905,SUN VALLEY,CA,OPEN,231,Los Angeles,6037,USA
545,39.138004993,-121.593912483,MARYSVILLE,CA,OPEN,173,Yuba,6115,USA
547,33.8049209280001,-118.150736858,LONG BEACH,CA,OPEN,-999,Los Angeles,6037,USA
548,40.1747476080001,-122.24244891,RED BLUFF,CA,OPEN,-999,Tehama,6103,USA
